iter	RMSE
0	7590.952899
1	7464.729821
2	7343.516478
3	7208.767044
4	7083.461866
5	6954.636233
6	6821.219322
7	6692.65682
8	6590.037053
9	6466.327781
10	6356.012053
11	6257.332217
12	6137.443909
13	6040.395955
14	5965.436393
15	5849.301082
16	5753.501781
17	5647.599534
18	5548.417544
19	5431.700529
20	5338.549288
21	5249.969279
22	5155.257687
23	5056.29058
24	4977.824332
25	4895.09226
26	4815.106997
27	4743.763132
28	4672.010373
29	4595.269343
30	4522.570832
31	4459.812364
32	4401.975155
33	4331.822567
34	4264.385391
35	4201.171215
36	4138.097767
37	4072.506231
38	4016.367404
39	3942.380882
40	3885.785135
41	3829.60161
42	3768.030299
43	3711.79841
44	3662.048704
45	3612.095175
46	3561.66316
47	3516.975348
48	3464.814147
49	3410.862012
50	3357.440336
51	3319.594158
52	3281.615872
53	3244.2386
54	3204.593402
55	3165.694084
56	3123.538529
57	3079.67614
58	3046.487065
59	3008.501117
60	2960.522715
61	2922.556198
62	2884.964552
63	2849.27118
64	2815.200366
65	2788.361492
66	2757.262826
67	2723.907652
68	2691.314932
69	2660.798572
70	2633.09829
71	2606.850942
72	2584.236821
73	2558.142702
74	2531.814005
75	2507.090525
76	2481.050521
77	2457.099815
78	2433.028741
79	2409.077863
80	2387.705018
81	2361.350814
82	2337.565871
83	2312.669802
84	2286.705043
85	2269.973997
86	2246.502417
87	2227.870723
88	2206.22399
89	2187.218424
90	2169.092964
91	2152.609093
92	2136.239574
93	2122.622685
94	2105.081403
95	2090.542419
96	2075.205271
97	2063.829793
98	2046.273697
99	2028.325342
100	2012.208936
101	1998.583331
102	1986.048438
103	1968.369093
104	1954.352611
105	1941.28884
106	1925.399368
107	1911.776352
108	1901.071486
109	1885.507092
110	1871.125973
111	1858.120042
112	1845.634862
113	1834.494153
114	1821.7784
115	1806.870334
116	1796.622827
117	1786.35808
118	1773.408382
119	1762.821317
120	1750.516149
121	1740.163045
122	1732.572138
123	1725.225485
124	1714.864379
125	1704.296374
126	1694.46935
127	1685.53029
128	1676.521957
129	1668.90825
130	1661.829118
131	1653.065031
132	1641.93861
133	1632.859459
134	1624.444563
135	1615.542223
136	1609.56537
137	1604.017829
138	1592.889191
139	1584.372508
140	1576.323774
141	1569.261936
142	1564.051791
143	1557.227606
144	1550.826342
145	1543.036798
146	1534.790275
147	1524.839014
148	1518.18195
149	1511.268383
150	1504.066644
151	1498.261209
152	1494.012983
153	1486.904775
154	1480.611545
155	1476.27023
156	1468.635877
157	1461.831226
158	1454.938693
159	1448.049485
160	1441.054262
161	1435.972722
162	1430.73227
163	1426.052775
164	1422.039731
165	1415.065069
166	1407.80273
167	1401.820367
168	1394.820238
169	1389.54668
170	1384.108682
171	1379.169152
172	1376.094053
173	1367.96057
174	1361.302457
175	1355.463302
176	1352.76246
177	1348.740049
178	1340.656012
179	1337.927395
180	1333.655315
181	1329.224987
182	1322.137716
183	1313.40974
184	1307.804984
185	1303.278893
186	1297.509761
187	1292.974513
188	1286.011093
189	1280.651091
190	1275.763476
191	1271.30905
192	1266.153807
193	1262.396818
194	1256.770027
195	1252.471896
196	1248.084429
197	1242.756476
198	1238.574043
199	1234.458657
200	1231.210272
201	1225.893959
202	1220.513404
203	1215.719132
204	1210.842851
205	1206.205955
206	1204.415137
207	1200.509385
208	1196.807958
209	1190.123633
210	1183.38805
211	1178.687846
212	1176.22089
213	1171.413056
214	1165.833996
215	1161.349469
216	1156.643658
217	1154.668319
218	1151.378155
219	1149.023134
220	1145.148404
221	1139.668601
222	1135.301259
223	1131.393451
224	1126.331524
225	1122.433613
226	1118.383549
227	1114.767024
228	1110.217238
229	1106.262197
230	1102.528301
231	1099.808451
232	1095.530813
233	1091.409149
234	1087.585844
235	1083.857697
236	1080.906672
237	1077.482257
238	1073.933194
239	1072.766436
240	1069.526117
241	1065.961403
242	1063.238787
243	1060.013719
244	1055.321482
245	1052.314944
246	1049.60276
247	1047.788122
248	1042.897436
249	1039.951304
250	1036.426982
251	1032.868604
252	1030.804556
253	1029.3243
254	1025.650243
255	1024.414043
256	1021.843129
257	1018.545903
258	1015.683135
259	1012.021096
260	1010.909859
261	1007.733813
262	1004.611091
263	1001.624078
264	999.2388888
265	996.5246389
266	993.6777501
267	991.372251
268	989.0556042
269	986.811667
270	984.2576122
271	980.5992927
272	979.6584248
273	976.2805469
274	974.3095529
275	972.4146161
276	970.2128229
277	968.4826539
278	966.3203542
279	964.1258031
280	962.2440615
281	960.0844307
282	958.5848634
283	956.2226036
284	954.6992221
285	953.1971135
286	951.4632563
287	950.6816289
288	948.3949997
289	946.3027487
290	944.358122
291	943.4135922
292	942.6743511
293	940.906756
294	939.0380672
295	938.3960388
296	937.3459654
297	935.6054446
298	933.2954814
299	931.2816057
300	928.7544293
301	925.7310723
302	923.5407237
303	922.3050123
304	920.5928494
305	919.1035247
306	916.6561671
307	916.0307003
308	914.0239992
309	911.7814606
310	911.1784329
311	907.1274737
312	905.363749
313	903.666469
314	903.0323081
315	901.1970612
316	899.4366899
317	897.3990043
318	893.9711665
319	893.2117453
320	892.6353303
321	892.0942439
322	889.9984356
323	889.470649
324	888.9521744
325	888.4428237
326	887.9571795
327	887.4643565
328	886.9721121
329	882.4852038
330	881.4251769
331	877.1884766
332	876.7289604
333	875.5203027
334	875.0827996
335	873.4418049
336	872.9300734
337	870.6458169
338	869.0448931
339	867.6203902
340	866.3224414
341	864.514368
342	860.8984083
343	857.2877557
344	856.3586199
345	855.3878283
346	855.0069452
347	852.7908695
348	852.3968553
349	850.6943775
350	850.2493362
351	846.8968176
352	844.0991288
353	843.5969553
354	842.5723854
355	840.3775104
356	838.1653065
357	835.6342544
358	832.9350112
359	832.1521869
360	831.717505
361	829.9507615
362	827.1690527
363	825.2078993
364	823.2967353
365	821.5782254
366	821.1845183
367	819.5077061
368	816.0732021
369	814.7443374
370	814.4288726
371	813.1202892
372	811.5564279
373	809.3326806
374	808.9311136
375	805.9620262
376	804.6998433
377	802.7856959
378	800.5984393
379	799.286245
380	796.3696879
381	795.0826591
382	792.5624775
383	791.2956636
384	789.2139228
385	788.4172069
386	787.3291724
387	785.0692055
388	783.7101538
389	782.5315966
390	781.145982
391	779.9242881
392	777.9811213
393	776.4282082
394	774.5843156
395	773.937823
396	773.2090859
397	771.4181765
398	770.0243151
399	768.5573656
400	766.6242787
401	764.8229946
402	763.7081131
403	762.3785718
404	760.6099881
405	758.4456283
406	756.7153382
407	756.0591452
408	753.7023332
409	751.9029785
410	750.7462821
411	749.6078952
412	748.4388222
413	747.7924621
414	746.8926203
415	745.007489
416	744.7538797
417	743.1102453
418	742.1317518
419	740.7194107
420	739.3596037
421	738.2737741
422	737.6594049
423	736.8528649
424	736.2011398
425	734.6366343
426	732.4019476
427	730.7570899
428	730.0402805
429	727.7278873
430	726.4314712
431	724.4435684
432	723.3860548
433	722.9668194
434	721.3761867
435	720.2966344
436	718.447614
437	716.7013421
438	714.5187437
439	712.3754244
440	710.2423657
441	708.7141458
442	707.5779275
443	706.5267738
444	704.8507243
445	703.3206371
446	702.2132144
447	701.1576784
448	698.8875149
449	697.7556043
450	696.2306416
451	694.6578033
452	693.0514017
453	692.4561666
454	691.2891445
455	689.8947495
456	688.6303934
457	687.1279986
458	685.7159036
459	684.2455292
460	682.8006553
461	681.2658854
462	680.6369008
463	679.7025664
464	677.2045351
465	675.7778538
466	674.7201089
467	674.1660551
468	673.0883854
469	672.271672
470	670.8435378
471	669.5468457
472	669.1337888
473	668.2886709
474	666.9605186
475	665.6782686
476	665.0194504
477	664.0972974
478	662.7597882
479	661.3293256
480	660.2335809
481	658.6094135
482	657.0832635
483	656.2445416
484	654.9705755
485	653.6043872
486	652.9001956
487	651.5968962
488	650.3298905
489	649.2804534
490	648.7005156
491	648.2376406
492	647.0069346
493	645.8368188
494	645.3659562
495	644.8616813
496	644.394273
497	643.8578489
498	643.492564
499	643.0494436
500	642.0192517
501	641.2016486
502	639.7950361
503	639.3283527
504	638.3274263
505	637.3296476
506	636.4027344
507	634.6195609
508	633.9964729
509	633.5877559
510	632.7265963
511	631.8190979
512	630.0495979
513	628.9928252
514	627.8838551
515	627.1217701
516	625.0021641
517	624.6806903
518	623.3965552
519	622.6468518
520	621.5810187
521	620.8649881
522	619.8098973
523	618.6160802
524	618.013859
525	617.165506
526	616.2081253
527	615.3538473
528	614.3928158
529	613.2978888
530	612.8573703
531	612.3208168
532	611.7761452
533	610.7856815
534	609.417155
535	608.7828486
536	608.450835
537	607.1143397
538	605.4490106
539	604.6454814
540	603.9309294
541	602.8122855
542	601.6716158
543	600.9841649
544	600.0893963
545	599.0328987
546	598.0061196
547	596.7297226
548	596.3975016
549	595.3924139
550	594.6164928
551	593.6525911
552	593.2415197
553	592.155827
554	591.5945412
555	590.8249483
556	589.9949309
557	589.1176549
558	587.5471794
559	586.8453449
560	586.3298773
561	585.7240518
562	585.0419757
563	584.5601104
564	583.9632298
565	583.2263579
566	582.0805443
567	581.528637
568	580.4551077
569	579.4093503
570	578.5401423
571	578.097758
572	577.4190455
573	576.2889463
574	575.179887
575	574.8144608
576	574.5410797
577	574.2327908
578	573.7486562
579	573.2538696
580	572.2009722
581	571.8690427
582	570.9620668
583	570.1775788
584	569.6074343
585	569.0309268
586	568.0574562
587	567.22777
588	566.4321959
589	565.1996827
590	563.9450775
591	562.8097797
592	561.6967076
593	560.6814839
594	560.1910783
595	558.8299737
596	558.0177837
597	557.6055335
598	556.6735314
599	556.2442082
600	556.0307062
601	555.2871141
602	554.6248038
603	553.7127235
604	553.2286759
605	552.9481689
606	552.1110391
607	551.8231573
608	550.869723
609	549.5879683
610	548.8473856
611	548.0120804
612	546.546493
613	545.9026976
614	544.9064607
615	544.4974204
616	543.9079436
617	543.6609464
618	542.9366841
619	542.0440648
620	541.6167985
621	540.7681436
622	540.1926891
623	539.3068028
624	538.4314639
625	538.1217947
626	537.6508515
627	537.0036519
628	536.1890743
629	535.8003361
630	535.4129432
631	534.5000897
632	533.8023714
633	533.0600652
634	532.190597
635	531.4380376
636	530.2461941
637	529.4108024
638	529.1784015
639	528.7266101
640	527.9399725
641	527.1504302
642	527.0108681
643	526.2087215
644	525.402596
645	524.7778368
646	524.0612428
647	523.3600167
648	522.249521
649	521.5287138
650	521.4488329
651	521.1745209
652	520.0608435
653	519.6679904
654	519.0909108
655	518.723458
