iter	Passed	Remaining
0	1	1101
1	1	966
2	2	931
3	3	878
4	4	857
5	5	858
6	6	881
7	7	901
8	8	887
9	8	880
10	9	878
11	10	865
12	11	868
13	12	870
14	13	868
15	14	881
16	15	881
17	15	871
18	16	868
19	17	868
20	18	865
21	19	858
22	20	862
23	21	865
24	22	859
25	22	852
26	23	846
27	24	841
28	25	838
29	25	832
30	26	828
31	27	824
32	28	822
33	28	818
34	29	814
35	30	809
36	30	806
37	31	801
38	32	797
39	33	792
40	33	787
41	34	784
42	35	784
43	35	780
44	36	780
45	37	779
46	38	777
47	39	774
48	39	772
49	40	768
50	41	765
51	41	763
52	42	762
53	43	762
54	44	761
55	45	759
56	45	756
57	46	752
58	47	749
59	47	748
60	48	747
61	49	746
62	50	745
63	50	743
64	51	740
65	52	738
66	52	736
67	53	735
68	54	736
69	55	735
70	56	734
71	57	734
72	57	733
73	58	732
74	59	732
75	60	732
76	61	731
77	61	731
78	62	731
79	63	730
80	64	728
81	64	727
82	65	725
83	66	724
84	67	722
85	67	720
86	68	719
87	69	717
88	69	715
89	70	714
90	71	713
91	72	710
92	72	709
93	73	707
94	74	708
95	75	709
96	76	708
97	76	707
98	77	707
99	78	705
100	79	704
101	79	702
102	80	699
103	81	698
104	81	697
105	82	696
106	83	695
107	84	694
108	84	693
109	85	693
110	86	692
111	87	691
112	87	690
113	88	689
114	89	689
115	90	688
116	91	689
117	92	689
118	93	689
119	94	689
120	95	690
121	95	689
122	96	688
123	97	687
124	98	686
125	98	684
126	99	684
127	100	682
128	100	681
129	101	680
130	102	679
131	103	677
132	103	677
133	104	677
134	105	676
135	106	676
136	106	673
137	107	671
138	108	670
139	108	668
140	109	667
141	110	666
142	111	665
143	111	663
144	112	662
145	113	662
146	113	661
147	114	660
148	115	659
149	116	658
150	116	657
151	117	656
152	118	655
153	119	654
154	119	653
155	120	652
156	121	652
157	122	651
158	123	651
159	123	650
160	124	650
161	125	649
162	126	649
163	127	648
164	128	648
165	128	647
166	129	646
167	130	646
168	131	645
169	131	644
170	132	643
171	133	642
172	134	641
173	135	640
174	135	640
175	136	639
176	137	638
177	138	637
178	138	637
179	139	636
180	140	635
181	141	633
182	141	633
183	142	632
184	143	630
185	143	629
186	144	628
187	145	627
188	146	627
189	147	627
190	147	625
191	148	625
192	149	624
193	150	623
194	150	623
195	151	622
196	152	621
197	153	621
198	154	620
199	154	619
200	155	618
201	156	617
202	157	616
203	157	615
204	158	614
205	159	613
206	159	612
207	160	612
208	161	611
209	162	610
210	163	609
211	163	608
212	164	607
213	165	607
214	166	606
215	167	607
216	168	606
217	168	603
218	169	603
219	169	602
220	170	601
221	171	601
222	172	600
223	173	599
224	173	598
225	174	597
226	175	596
227	175	595
228	176	594
229	177	593
230	178	592
231	178	591
232	179	591
233	180	590
234	181	589
235	181	588
236	182	588
237	183	587
238	184	586
239	184	585
240	185	584
241	186	584
242	187	583
243	187	582
244	188	581
245	189	581
246	190	580
247	191	579
248	192	579
249	193	579
250	193	578
251	194	578
252	195	577
253	196	577
254	197	576
255	198	575
256	199	575
257	199	574
258	200	574
259	201	573
260	202	572
261	202	571
262	203	570
263	204	570
264	205	569
265	206	568
266	207	568
267	207	567
268	208	567
269	209	566
270	210	565
271	211	565
272	212	564
273	212	564
274	213	563
275	214	562
276	215	561
277	216	561
278	216	559
279	217	558
280	218	558
281	218	557
282	219	556
283	220	555
284	221	554
285	221	554
286	222	553
287	223	552
288	224	551
289	225	550
290	225	550
291	226	549
292	227	548
293	228	548
294	229	547
295	229	546
296	230	545
297	231	545
298	232	544
299	233	543
300	234	543
301	235	543
302	236	543
303	236	542
304	237	541
305	238	540
306	239	539
307	239	539
308	240	538
309	241	538
310	242	537
311	243	536
312	244	536
313	245	535
314	245	534
315	246	533
316	247	533
317	248	532
318	249	531
319	249	531
320	250	530
321	251	529
322	252	528
323	252	527
324	253	527
325	254	526
326	255	525
327	256	526
328	257	525
329	258	524
330	259	523
331	259	522
332	260	521
333	261	520
334	262	520
335	262	519
336	263	518
337	264	517
338	265	517
339	266	516
340	266	515
341	267	514
342	268	514
343	269	513
344	269	512
345	270	511
346	271	510
347	272	509
348	272	509
349	273	508
350	274	507
351	275	506
352	275	505
353	276	504
354	277	504
355	278	503
356	279	502
357	279	501
358	280	501
359	281	500
360	282	499
361	282	498
362	283	497
363	284	496
364	285	496
365	286	495
366	286	494
367	287	494
368	288	493
369	289	492
370	290	491
371	290	491
372	291	490
373	292	489
374	293	488
375	294	488
376	294	487
377	295	486
378	296	485
379	297	485
380	298	484
381	298	483
382	299	482
383	300	482
384	301	481
385	302	480
386	302	479
387	303	479
388	304	478
389	305	477
390	306	476
391	306	475
392	307	475
393	308	474
394	309	473
395	310	472
396	310	472
397	311	471
398	312	470
399	313	469
400	313	468
401	314	468
402	315	467
403	316	466
404	317	465
405	318	465
406	318	464
407	319	463
408	320	462
409	321	462
410	321	461
411	322	460
412	323	459
413	324	458
414	325	458
415	325	457
416	326	456
417	327	456
418	328	455
419	329	454
420	329	453
421	330	452
422	331	451
423	331	450
424	332	450
425	333	449
426	334	448
427	335	447
428	335	447
429	336	446
430	337	445
431	338	444
432	339	444
433	339	443
434	340	442
435	341	441
436	342	440
437	342	439
438	343	439
439	344	438
440	345	437
441	345	436
442	346	435
443	347	434
444	347	433
445	348	433
446	349	432
447	350	431
448	350	430
449	351	430
450	352	429
451	353	428
452	354	427
453	354	426
454	355	425
455	356	425
456	357	424
457	357	423
458	358	422
459	359	421
460	360	421
461	360	420
462	361	419
463	362	418
464	363	417
465	364	417
466	364	416
467	365	415
468	366	414
469	367	414
470	368	413
471	368	412
472	369	411
473	370	411
474	371	410
475	372	409
476	372	408
477	373	408
478	374	407
479	375	406
480	376	405
481	376	404
482	377	404
483	378	403
484	379	402
485	380	402
486	380	401
487	381	400
488	382	399
489	383	399
490	384	398
491	385	397
492	385	396
493	386	396
494	387	395
495	388	394
496	389	393
497	390	393
498	390	392
499	391	391
500	392	390
501	393	390
502	394	389
503	394	388
504	395	387
505	396	387
506	397	386
507	398	385
508	398	384
509	399	384
510	400	383
511	401	382
512	402	382
513	403	381
514	404	380
515	404	379
516	405	378
517	406	378
518	407	377
519	407	376
520	408	375
521	409	375
522	410	374
523	411	373
524	412	372
525	412	372
526	413	371
527	414	370
528	415	369
529	416	369
530	416	368
531	417	367
532	418	366
533	419	365
534	419	365
535	420	364
536	421	363
537	422	362
538	423	361
539	423	361
540	424	360
541	425	359
542	426	358
543	427	357
544	427	357
545	428	356
546	429	355
547	430	354
548	430	353
549	431	353
550	432	352
551	433	351
552	434	351
553	435	350
554	435	349
555	436	348
556	437	347
557	438	347
558	438	346
559	439	345
560	440	344
561	441	344
562	442	343
563	443	342
564	443	341
565	444	340
566	445	340
567	446	339
568	446	338
569	447	337
570	448	336
571	449	336
572	450	335
573	450	334
574	451	333
575	452	333
576	453	332
577	453	331
578	455	330
579	455	330
580	456	329
581	457	328
582	458	327
583	459	327
584	459	326
585	460	325
586	461	324
587	462	323
588	463	323
589	464	322
590	464	321
591	465	320
592	466	320
593	467	319
594	468	318
595	468	317
596	469	316
597	470	316
598	471	315
599	472	314
600	472	313
601	473	313
602	474	312
603	475	311
604	476	310
605	476	310
606	477	309
607	478	308
608	479	307
609	479	306
610	480	305
611	481	305
612	482	304
613	482	303
614	483	302
615	484	301
616	485	301
617	485	300
618	486	299
619	487	298
620	488	298
621	489	297
622	489	296
623	490	295
624	491	294
625	492	294
626	492	293
627	493	292
628	494	291
629	495	290
630	496	290
631	496	289
632	497	288
633	498	287
634	499	287
635	500	286
636	501	285
637	501	284
638	502	283
639	503	283
640	504	282
641	504	281
642	505	280
643	506	279
644	507	279
645	507	278
646	508	277
647	509	276
648	510	275
649	510	275
650	511	274
651	512	273
652	513	272
653	514	271
654	514	271
655	515	270
656	516	269
657	517	269
658	518	268
659	519	267
660	520	266
661	520	265
662	521	265
663	522	264
664	523	263
665	524	262
666	525	262
667	525	261
668	526	260
669	527	259
670	528	258
671	528	258
672	529	257
673	530	256
674	531	255
675	532	255
676	533	254
677	533	253
678	534	252
679	535	251
680	536	251
681	537	250
682	538	249
683	538	249
684	539	248
685	540	247
686	541	246
687	542	246
688	543	245
689	544	244
690	545	243
691	545	242
692	546	242
693	547	241
694	548	240
695	549	240
696	550	239
697	551	238
698	552	237
699	553	237
700	554	236
701	555	235
702	556	234
703	556	234
704	557	233
705	558	232
706	558	231
707	559	230
708	560	230
709	561	229
710	562	228
711	562	227
712	563	226
713	564	226
714	565	225
715	566	224
716	566	223
717	567	222
718	568	222
719	569	221
720	569	220
