epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07589,1.82105,3.0243,1.90372,0.00959,1,0.24666,0.13284,0.97232,2.95408,1.5113,1.667e-05,1.667e-05,1.667e-05
2,9.59007,1.66916,2.99857,1.70351,0.00985,1,0.28299,0.1214,0.94395,2.95135,1.45725,4.95149e-05,4.95149e-05,4.95149e-05
3,13.6426,1.50663,2.9058,1.54187,0.01005,1,0.1958,0.10824,0.87778,2.95986,1.40368,8.16997e-05,8.16997e-05,8.16997e-05
4,17.4596,1.39839,2.88636,1.56486,0.00985,1,0.28137,0.17077,0.93377,2.97782,1.44267,0.000113224,0.000113224,0.000113224
5,21.5232,1.32687,2.77194,1.51261,0.00951,1,0.45208,0.31303,0.92437,2.99534,1.45275,0.000144089,0.000144089,0.000144089
6,25.6747,1.28321,2.78432,1.50712,0.0095,1,0.42001,0.29704,0.97144,2.96264,1.45461,0.000174293,0.000174293,0.000174293
7,29.7706,1.37,2.72838,1.5749,0.0089,0.9,0.41466,0.28537,1.03057,2.97857,1.46286,0.000203837,0.000203837,0.000203837
8,33.8398,1.21136,2.51655,1.38268,0.00942,1,0.48022,0.31756,1.03532,2.94693,1.40823,0.000232722,0.000232722,0.000232722
9,37.9376,1.34083,2.49821,1.46558,0.00944,1,0.48074,0.31832,0.95234,2.93365,1.37808,0.000260946,0.000260946,0.000260946
10,41.9346,1.37697,2.46652,1.48693,0.00948,1,0.46159,0.33425,0.85029,2.91704,1.34512,0.000288509,0.000288509,0.000288509
11,45.8382,1.59541,2.52235,1.71333,0.00945,1,0.51156,0.3629,0.87929,2.90678,1.35267,0.000315413,0.000315413,0.000315413
12,49.8926,1.22927,2.28555,1.41347,0.00946,1,0.5014,0.33777,0.92865,2.90123,1.37372,0.000341657,0.000341657,0.000341657
13,53.7984,1.37262,2.46467,1.5707,0.00945,1,0.50332,0.32199,0.93887,2.88633,1.41533,0.00036724,0.00036724,0.00036724
14,57.6284,1.29105,2.24456,1.4513,0.00947,1,0.49087,0.3111,0.98714,2.8772,1.44057,0.000392163,0.000392163,0.000392163
15,61.7083,1.21551,2.18405,1.37293,0.00948,1,0.48796,0.34224,0.95586,2.87424,1.50166,0.000416427,0.000416427,0.000416427
16,65.5795,1.19774,2.19642,1.35833,0.00956,1,0.52047,0.38455,0.98209,2.82505,1.58361,0.00044003,0.00044003,0.00044003
17,69.625,1.24761,2.18003,1.44727,0.00953,1,0.57356,0.39224,0.94195,2.80128,1.62388,0.000462973,0.000462973,0.000462973
18,73.7772,1.33025,1.91337,1.4935,0.00959,1,0.4957,0.31109,1.00223,2.77579,1.67543,0.000485255,0.000485255,0.000485255
19,77.8916,1.21537,1.93514,1.45775,0.00949,1,0.50785,0.26438,1.30163,2.78823,1.87829,0.000506878,0.000506878,0.000506878
20,81.6786,1.23153,1.79358,1.42172,0.00945,1,0.44513,0.225,1.34271,2.82118,1.83611,0.000527841,0.000527841,0.000527841
21,85.7019,1.15314,1.74519,1.3647,0.48244,0.46997,0.46248,0.25999,1.35803,2.73848,1.76404,0.000548143,0.000548143,0.000548143
22,89.7334,1.20889,1.76558,1.39219,0.34366,0.18228,0.40812,0.22724,1.38489,2.76704,1.8354,0.000567785,0.000567785,0.000567785
23,93.7081,1.24891,1.60724,1.45195,0.30698,0.15556,0.35899,0.22027,1.35226,2.75173,1.81714,0.000586767,0.000586767,0.000586767
